[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                                                         
{'loss': 10.0525, 'grad_norm': 1.8515625, 'learning_rate': 4.99999976796359e-05, 'epoch': 0.0}
{'loss': 9.9379, 'grad_norm': 2.375, 'learning_rate': 4.999999761473374e-05, 'epoch': 0.0}
{'loss': 10.0248, 'grad_norm': 1.984375, 'learning_rate': 4.9999997548936385e-05, 'epoch': 0.0}
{'loss': 10.0326, 'grad_norm': 2.125, 'learning_rate': 4.999999748224382e-05, 'epoch': 0.0}
{'loss': 9.9165, 'grad_norm': 1.6953125, 'learning_rate': 4.999999741465605e-05, 'epoch': 0.0}
{'loss': 10.1211, 'grad_norm': 1.9296875, 'learning_rate': 4.999999734617309e-05, 'epoch': 0.0}
{'loss': 9.8903, 'grad_norm': 1.8671875, 'learning_rate': 4.999999727679492e-05, 'epoch': 0.0}
{'loss': 10.0723, 'grad_norm': 1.9375, 'learning_rate': 4.999999720652155e-05, 'epoch': 0.0}
{'loss': 10.0003, 'grad_norm': 1.765625, 'learning_rate': 4.999999713535297e-05, 'epoch': 0.0}
{'loss': 9.9373, 'grad_norm': 2.328125, 'learning_rate': 4.99999970632892e-05, 'epoch': 0.0}
{'loss': 9.8794, 'grad_norm': 2.125, 'learning_rate': 4.9999996990330225e-05, 'epoch': 0.0}
{'loss': 9.9017, 'grad_norm': 1.875, 'learning_rate': 4.999999691647605e-05, 'epoch': 0.0}
{'loss': 9.8981, 'grad_norm': 1.9765625, 'learning_rate': 4.9999996841726657e-05, 'epoch': 0.0}
{'loss': 9.9989, 'grad_norm': 2.46875, 'learning_rate': 4.999999676608208e-05, 'epoch': 0.0}
{'loss': 9.8971, 'grad_norm': 1.9921875, 'learning_rate': 4.999999668954229e-05, 'epoch': 0.0}
{'loss': 10.0065, 'grad_norm': 2.109375, 'learning_rate': 4.99999966121073e-05, 'epoch': 0.0}
{'loss': 10.0413, 'grad_norm': 1.84375, 'learning_rate': 4.9999996533777115e-05, 'epoch': 0.0}
{'loss': 9.8525, 'grad_norm': 2.125, 'learning_rate': 4.9999996454551725e-05, 'epoch': 0.0}
{'loss': 9.8944, 'grad_norm': 1.9375, 'learning_rate': 4.999999637443112e-05, 'epoch': 0.0}
{'loss': 9.8469, 'grad_norm': 2.203125, 'learning_rate': 4.999999629341533e-05, 'epoch': 0.0}
{'loss': 9.8712, 'grad_norm': 2.078125, 'learning_rate': 4.999999621150433e-05, 'epoch': 0.0}
{'loss': 9.7455, 'grad_norm': 1.921875, 'learning_rate': 4.999999612869814e-05, 'epoch': 0.0}
{'loss': 9.948, 'grad_norm': 2.171875, 'learning_rate': 4.9999996044996726e-05, 'epoch': 0.0}
{'loss': 9.8812, 'grad_norm': 2.1875, 'learning_rate': 4.9999995960400124e-05, 'epoch': 0.0}
{'loss': 9.8564, 'grad_norm': 2.09375, 'learning_rate': 4.9999995874908316e-05, 'epoch': 0.0}
{'loss': 9.8983, 'grad_norm': 2.15625, 'learning_rate': 4.999999578852131e-05, 'epoch': 0.0}
{'loss': 9.9625, 'grad_norm': 1.6796875, 'learning_rate': 4.99999957012391e-05, 'epoch': 0.0}
{'loss': 9.8546, 'grad_norm': 1.90625, 'learning_rate': 4.999999561306169e-05, 'epoch': 0.0}
{'loss': 9.8556, 'grad_norm': 2.03125, 'learning_rate': 4.999999552398907e-05, 'epoch': 0.0}
{'loss': 10.1396, 'grad_norm': 2.109375, 'learning_rate': 4.999999543402125e-05, 'epoch': 0.0}
{'loss': 9.7875, 'grad_norm': 2.203125, 'learning_rate': 4.9999995343158236e-05, 'epoch': 0.0}
{'loss': 9.9808, 'grad_norm': 2.21875, 'learning_rate': 4.999999525140001e-05, 'epoch': 0.0}
{'loss': 10.0623, 'grad_norm': 2.046875, 'learning_rate': 4.9999995158746594e-05, 'epoch': 0.0}
{'loss': 9.9488, 'grad_norm': 1.8828125, 'learning_rate': 4.9999995065197964e-05, 'epoch': 0.0}
{'loss': 9.7878, 'grad_norm': 2.140625, 'learning_rate': 4.9999994970754136e-05, 'epoch': 0.0}
{'loss': 9.7112, 'grad_norm': 2.0, 'learning_rate': 4.999999487541511e-05, 'epoch': 0.0}
{'loss': 10.0503, 'grad_norm': 1.9140625, 'learning_rate': 4.999999477918088e-05, 'epoch': 0.0}
{'loss': 9.8398, 'grad_norm': 1.890625, 'learning_rate': 4.999999468205144e-05, 'epoch': 0.0}
